Date,Close
2/12/2019,211.9
2/13/2019,212.8
2/14/2019,213.84
2/15/2019,216.47
2/19/2019,218.12
2/20/2019,217.11
2/21/2019,215.23
2/22/2019,216.29
2/25/2019,217.05
2/26/2019,217.61
2/27/2019,218.05
2/28/2019,218.74
3/1/2019,219.44
3/4/2019,218.41
3/5/2019,219.82
3/6/2019,219.23
3/7/2019,216.79
3/8/2019,227.82
3/11/2019,229.69
3/12/2019,232.96
3/13/2019,236.38
3/14/2019,233.84
3/15/2019,233.6
3/18/2019,236.59
3/19/2019,237.05
3/20/2019,236.98
3/21/2019,239.54
3/22/2019,237.56
3/25/2019,236.97
3/26/2019,239.07
3/27/2019,239.41
3/28/2019,241.22
3/29/2019,242.14
4/1/2019,244.19
4/2/2019,240.5
4/3/2019,242.48
4/4/2019,244.4
4/5/2019,245.87
4/8/2019,246.52
4/9/2019,244.91
4/10/2019,245.61
4/11/2019,241.24
4/12/2019,241.95
4/15/2019,246.33
4/16/2019,245.34
4/17/2019,245.56
4/18/2019,245.81
4/22/2019,243.42
4/23/2019,245.58
4/24/2019,247.96
4/25/2019,245.6
4/26/2019,243.82
4/29/2019,244.28
4/30/2019,245.53
5/1/2019,241.59
5/2/2019,242.69
5/3/2019,244.62
5/6/2019,244.23
5/7/2019,240.18
5/8/2019,241.34
5/9/2019,243.47
5/10/2019,247.02
5/13/2019,241.92
